anio,mes,dia,estacion,valor
2018, 5, 7, 15, 22.5
2018, 5, 7, 16, 5.2
2018, 5, 7, 17, 2.8
2018, 5, 14, 2, 10.4
2018, 5, 14, 3, 19.1
2018, 5, 14, 4, 19.3
2018, 5, 14, 5, 35.1
2018, 5, 14, 6, 17.5
2018, 5, 14, 7, 17.5
2018, 5, 14, 8, 4.0
2018, 5, 14, 9, 15.2
2018, 5, 14, 10, 52.6
2018, 5, 14, 11, 41.0
2018, 5, 14, 12, 17.3
2018, 5, 14, 13, 4.6
2018, 5, 14, 14, 54.1
2018, 5, 14, 15, 4.9
2018, 5, 14, 16, 32.3
2018, 5, 14, 17, 21.1
2018, 5, 21, 2, 23.1
2018, 5, 21, 4, 19.6
2018, 5, 21, 6, 5.3
2018, 5, 21, 8, 1.5
2018, 5, 21, 9, 13.5
2018, 5, 21, 10, 1.3
2018, 5, 21, 11, 38.4
2018, 5, 21, 12, 29.2
2018, 5, 21, 13, 8.6
2018, 5, 21, 15, 18.3
2018, 5, 28, 2, 0.3
2018, 5, 28, 3, 0.2
2018, 5, 28, 4, 18.42
2018, 5, 28, 8, 0.9
2018, 5, 28, 9, 4.8
2018, 5, 28, 10, 0.8
2018, 5, 28, 11, 0.3
2018, 5, 28, 13, 1.0
2018, 5, 28, 16, 0.2
2018, 5, 28, 17, 3.0
2018, 6, 4, 2, 14.2
2018, 6, 4, 3, 69.0
2018, 6, 4, 4, 6.4
2018, 6, 4, 5, 87.4
2018, 6, 4, 6, 35.0
2018, 6, 4, 7, 24.1
2018, 6, 4, 8, 53.3
2018, 6, 4, 9, 16.0
2018, 6, 4, 10, 7.7
2018, 6, 4, 11, 35.7
2018, 6, 4, 12, 5.3
2018, 6, 4, 13, 19.8
2018, 6, 4, 14, 22.1
2018, 6, 4, 15, 14.0
2018, 6, 4, 16, 23.7
2018, 6, 4, 17, 72.9
2018, 6, 11, 2, 160.3
2018, 6, 11, 3, 49.1
2018, 6, 11, 4, 79.5
2018, 6, 11, 5, 68.3
2018, 6, 11, 6, 124.0
2018, 6, 11, 7, 59.7
2018, 6, 11, 8, 139.4
2018, 6, 11, 9, 200.9
2018, 6, 11, 10, 32.9
2018, 6, 11, 11, 24.5
2018, 6, 11, 12, 68.8
2018, 6, 11, 13, 100.6
2018, 6, 11, 14, 50.5
2018, 6, 11, 15, 49.9
2018, 6, 11, 16, 13.3
2018, 6, 11, 17, 52.3
2018, 6, 18, 2, 36.1
2018, 6, 18, 3, 59.0
2018, 6, 18, 4, 38.6
2018, 6, 18, 5, 53.1
2018, 6, 18, 6, 23.1
2018, 6, 18, 7, 16.1
2018, 6, 18, 8, 57.9
2018, 6, 18, 9, 39.3
2018, 6, 18, 10, 7.7
2018, 6, 18, 11, 16.6
2018, 6, 18, 12, 42.9
2018, 6, 18, 13, 50.8
2018, 6, 18, 14, 5.5
2018, 6, 18, 15, 88.1
2018, 6, 18, 16, 4.9
2018, 6, 18, 17, 107.2
2018, 6, 25, 2, 79.0
2018, 6, 25, 3, 29.0
2018, 6, 25, 4, 28.9
2018, 6, 25, 5, 22.4
2018, 6, 25, 6, 39.9
2018, 6, 25, 7, 21.9
2018, 6, 25, 8, 61.2
2018, 6, 25, 9, 28.4
2018, 6, 25, 10, 19.3
2018, 6, 25, 11, 8.6
2018, 6, 25, 12, 17.5
2018, 6, 25, 13, 26.2
2018, 6, 25, 14, 3.7
2018, 6, 25, 15, 60.7
2018, 6, 25, 16, 9.1
2018, 6, 25, 17, 38.9
2018, 7, 2, 2, 17.8
2018, 7, 2, 3, 39.0
2018, 7, 2, 4, 27.2
2018, 7, 2, 5, 36.3
2018, 7, 2, 6, 20.8
2018, 7, 2, 7, 26.2
2018, 7, 2, 8, 46.6
2018, 7, 2, 9, 86.1
2018, 7, 2, 10, 31.8
2018, 7, 2, 11, 11.7
2018, 7, 2, 12, 25.7
2018, 7, 2, 13, 81.0
2018, 7, 2, 14, 36.8
2018, 7, 2, 15, 51.7
2018, 7, 2, 16, 30.8
2018, 7, 2, 17, 42.9
2018, 7, 9, 2, 56.1
2018, 7, 9, 3, 38.9
2018, 7, 9, 4, 71.6
2018, 7, 9, 5, 50.0
2018, 7, 9, 6, 55.6
2018, 7, 9, 7, 43.9
2018, 7, 9, 8, 78.1
2018, 7, 9, 9, 68.3
2018, 7, 9, 10, 41.4
2018, 7, 9, 11, 33.4
2018, 7, 9, 12, 62.5
2018, 7, 9, 13, 19.8
2018, 7, 9, 14, 19.1
2018, 7, 9, 15, 41.5
2018, 7, 9, 16, 18.9
2018, 7, 9, 17, 56.4
2018, 7, 16, 2, 25.4
2018, 7, 16, 3, 0.5
2018, 7, 16, 4, 39.6
2018, 7, 16, 5, 25.7
2018, 7, 16, 6, 2.8
2018, 7, 16, 7, 11.9
2018, 7, 16, 8, 10.2
2018, 7, 16, 9, 3.1
2018, 7, 16, 10, 1.0
2018, 7, 16, 11, 0.6
2018, 7, 16, 12, 19.6
2018, 7, 16, 13, 46.5
2018, 7, 16, 15, 20.5
2018, 7, 16, 16, 3.0
2018, 7, 23, 2, 31.5
2018, 7, 23, 3, 7.2
2018, 7, 23, 4, 16.0
2018, 7, 23, 5, 15.0
2018, 7, 23, 6, 12.3
2018, 7, 23, 7, 16.4
2018, 7, 23, 8, 25.0
2018, 7, 23, 9, 20.6
2018, 7, 23, 10, 14.4
2018, 7, 23, 11, 16.3
2018, 7, 23, 12, 37.3
2018, 7, 23, 13, 32.8
2018, 7, 23, 14, 25.9
2018, 7, 23, 15, 28.5
2018, 7, 23, 16, 22.1
2018, 7, 23, 17, 9.7
2018, 7, 30, 2, 81.8
2018, 7, 30, 3, 59.0
2018, 7, 30, 4, 47.5
2018, 7, 30, 5, 40.5
2018, 7, 30, 6, 59.6
2018, 7, 30, 7, 68.9
2018, 7, 30, 8, 106.5
2018, 7, 30, 9, 58.2
2018, 7, 30, 10, 29.2
2018, 7, 30, 11, 26.0
2018, 7, 30, 12, 62.5
2018, 7, 30, 13, 56.9
2018, 7, 30, 14, 51.3
2018, 7, 30, 15, 77.9
2018, 7, 30, 16, 36.6
2018, 7, 30, 17, 55.6
2018, 8, 6, 2, 85.1
2018, 8, 6, 3, 49.0
2018, 8, 6, 4, 80.8
2018, 8, 6, 5, 49.7
2018, 8, 6, 6, 55.1
2018, 8, 6, 7, 67.4
2018, 8, 6, 8, 121.9
2018, 8, 6, 9, 89.7
2018, 8, 6, 10, 63.2
2018, 8, 6, 11, 52.8
2018, 8, 6, 12, 69.6
2018, 8, 6, 13, 30.7
2018, 8, 6, 14, 31.0
2018, 8, 6, 15, 53.5
2018, 8, 6, 16, 75.6
2018, 8, 6, 17, 38.1
2018, 8, 13, 2, 58.4
2018, 8, 13, 3, 38.9
2018, 8, 13, 4, 59.2
2018, 8, 13, 5, 13.5
2018, 8, 13, 6, 25.7
2018, 8, 13, 7, 6.8
2018, 8, 13, 8, 48.3
2018, 8, 13, 9, 80.8
2018, 8, 13, 10, 62.0
2018, 8, 13, 11, 62.4
2018, 8, 13, 12, 44.7
2018, 8, 13, 13, 51.6
2018, 8, 13, 14, 40.5
2018, 8, 13, 15, 43.1
2018, 8, 13, 16, 65.7
2018, 8, 13, 17, 36.6
2018, 8, 20, 2, 39.9
2018, 8, 20, 3, 23.2
2018, 8, 20, 4, 72.6
2018, 8, 20, 5, 40.9
2018, 8, 20, 6, 26.7
2018, 8, 20, 7, 22.5
2018, 8, 20, 8, 61.1
2018, 8, 20, 9, 27.2
